Abi Titmuss
Kate Williams
Kate Winslet
Kathe Green
Katherine Kelly
Katherine Parkinson
Katherine Parr
Katherine Rose Morley
Katherine Woodville
Kathleen Byron
Kathleen Harrison
Kathryn Beaumont
Kathryn Drysdale
Kathryn Hunter
Kathryn Pogson
Kathryn Prescott
Kathy Burke
Kathy Staff
Katie Carr
Katie Jarvis
Katie Johnson
Katie Lyons
Katie Sheridan
Katrin Cartlidge
Katrine Boorman
Katy Brand
Katy Manning
Katya Berger
Kay Deslys
Kay Hammond
Kay Kendall
Kay Purcell
Kay Walsh
Kaya Scodelario
Kirby Howell-Baptiste
Kirsten Hughes
Kirsty Dillon
Kitty Gordon
Klariza Clayton
Liz Crowther
Liz Fraser
Liz May Brice
Liz Smith
Liz White
Liza Tarbuck
Liza Walker
Lizette Thorne
Moyra Fraser
Muna Otaru
Nadia Sawalha
Nadine Marshall
Nadine Mulkerrin
Nan Marriott-Watson
Nancy Burne
Nancy Nevinson
Nancy Price
Nancy Welford
Nanette Newman
Naomi Battrick
Naomi Bentley
Naomi Chance
Naomi Frederick
Naomi Scott
Naomi Watts
Nazanin Boniadi
Roisin Conaty
Rula Lenska
Ruth Gemmell
Ruth Kettlewell
Ruth Mackay
Ruth Madeley
Ruth Sheen
Susan Beaumont
Susan Brown
Susan Fitzgerald
Susan George
Susan Hampshire
Susan Shaw
Susan Skipper
Susan Stephen
Susan Stranks
Susan Wokoma
Susan Wooldridge
Susannah Doyle
Susannah Fielding
Susannah Harker
Susannah York
Susie Amy
Susie Silvey
Suzan Farmer
Suzana Ansar
Suzanna Hamilton
Suzanna Leigh
Suzanne Bertish
Suzanne Collins
Suzanne Danielle
Suzanne Maddock
Suzanne May
Suzette Llewellyn
Suzie Kennedy
Suzie Toase
Suzy Kendall
Suzy Mandel
Tehmina Sunny
Tempe Pigott
Thora Hird
Ursula Howells
Ursula Jeans
Ursula O'Leary
Harriet Walter
Hattie Jacques
Hattie Morahan
Haydn Gwynne
Hayley Atwell
Hayley Carmichael
Hayley Cleghorn
Hayley Mills
Hayley Squires
Hazel Court
Hazel Crowney
Hazel Douglas
Hazel Keech
Hazel Monaghan
Hazel O'Connor
Hazel Terry
Heather Angel
Heather Canning
Heather Craney
Heather Sears
Heather Thatcher
Heather Wright
Helen Baxendale
Helen Burns
Helen Cherry
Helen Ferrers
Helen Flanagan
Helen Fraser
Helen George
Helen Haye
Helen Lederer
Helen Maud Holt
Helen McCrory
Helen Mirren
Helen Rule
Helen Shapiro
Helena Barlow
Helena Bonham Carter
Helena Michell
Helena Millais
Helene Palmer
Hermione Baddeley
Hermione Gingold
Hermione Hannen
Hetty Baynes
Hilary Dwyer
Hilary Mason
Hilda Bayley
Hilda Braid
Hilda Fenemore
Hilda Moore
Hilda Plowright
Hilda Spong
Hildegarde Neil
Ivy Close
Ivy Duke
Ivy Tresmand
Izzy Meikle-Small
J. C. Brandy
J. Jayalalithaa
Patsy Byrne
Patsy Kensit
Patsy Rowlands
Paula Jacobs
Paula Tilbrook
Pauline Black
Pauline Brailsford
Pauline Collins
Pauline Jameson
Pauline Johnson
Pauline Moran
Pauline Quirke
Pauline Tennant
Pauline Yates
Perlita Neilson
Perri Lister
Petra Letang
Petra Markham
Petula Clark
Philippa Bevans
Philippa Gail
Phoebe Nicholls
Phoebe Waller-Bridge
Phyllis Barry
Phyllis Calvert
Phyllis Dare
Phyllis Konstam
Phyllis MacMahon
Phyllis Neilson-Terry
Liana Bridges
Liberty Ross
Lila Kaye
Lilian Braithwaite
Lill Roughley
Lillian Hall-Davis
Lillian Kemble-Cooper
Lillian Rich
Lilly Englert
Lily Allen
Lily Cole
Lily Collins
Lily Elsie
Lily James
Lily Laight
Lily Newmark
Lily Saxby
Lily Travers
Marcia Warren
Margaret Barton
Margaret Johnston
Margaret Lee
Margaret Leighton
Margaret Lockwood
Margaret Nolan
Margaret Preece
Margaret Rawlings
Margaret Rutherford
Margaret Scudamore
Margaret Tyzack
Margaret Whiting
Margaret Yarde
Margaretta Scott
Margery Mason
Margery Maude
Margi Clarke
Margo Johns
Margo McLennan
Margot Drake
Margot Grahame
Ophelia Lovibond
Paddi Edwards
Paddie O'Neil
Paloma Baeza
Paloma Faith
Pam St Clement
Pamela Brown
Pamela Cundell
Pamela Green
Pamela Mason
Pamela Stanley
Rene Ray, Countess of Midleton
Renee Kelly
Renie Riano
Renée Asherson
Rita Jolivet
Rita May
Rita Ramnani
Rita Tushingham
Rita Webb
Ritu Arya
Roberta Kerr
Roberta Tovey
Robin Weaver
Noel Dyson
Noeleen Comiskey
Nora Cecil
Nora Nicholson
Nora Swinburne
Norah Baring
Norma Varden
Oge Okoye
Pippa Haywood
Pippa Nixon
Pixie Davies
Pixie Lott
Pooky Quesnel
Poppy Lee Friar
Poppy Miller
Preeti Desai
Priscilla Morgan
Priya Davdra
Rhianne Barreto
Rhiannon Clements
Rhona Mitra
Riann Steele
Romola Garai
Ronkẹ Adékoluẹjo
Rosalie Crutchley
Rosalind Ayres
Rosalind Bennett
Rosalind Halstead
Rosalind Ivan
Rosalind Knight
Rosalyn Landor
Rosamund Greenwood
Rosamund Hanson
Rosamund John
Rose Hill
Rose Williams
Rosemary Harris
Rosemary Martin
Rosemary Nicols
Rosie Day
Rosie Fellner
Rosie Huntington-Whiteley
Saba Raleigh
Sabra Williams
Sabrina
Sadie Corré
Sadie Frost
Saffron Burrows
Sandra Bryant
Sandra Dorne
Sandra Storme
Sandy Ratcliff
Sanna-June Hyde
Sapna Pabbi
Sara Kestelman
Sara Stockbridge
Sarah-Jane Potts
Sarah Alexander
Sarah Aubrey
Sarah Badel
Sarah Branch
Sarah Churchill
Sarah Douglas
Sarah Hadland
Sarah Harding
Tess Frazer
Tessa Dahl
Tessa Peake-Jones
Thandiwe Newton
Trudie Styler
Trés Hanley
Tuppence Middleton
Twiggy
Una Stubbs
Venetia Stevenson
Vera Bogetti
Vera Frances
Veronica Carlson
Veronica Hurst
Vesta Tilley
Wendi Peters
Wendy Barrie
Wendy Craig
Wendy Glenn
Wendy Hiller
Wendy Morgan
Wendy Padbury
Wendy Richard
Wendy Toye
